Ticker,CIEN,CIEN,CIEN,CIEN,CIEN,FRES.L,FRES.L,FRES.L,FRES.L,FRES.L,MU,MU,MU,MU,MU,TER,TER,TER,TER,TER,WDC,WDC,WDC,WDC,WDC
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,200.919998,201.440002,192.199997,194.490005,2303800.0,2820.0,2850.0,2612.0,2642.0,1411150.0,240.3629,242.262126,231.406511,232.196186,18238200.0,179.630005,182.869995,178.039993,179.169998,2765800.0,163.4086,165.117233,157.103672,160.071287,7882200.0
2025-12-02,202.5,209.190002,198.009995,204.029999,2282800.0,2728.0,2818.0,2694.0,2792.0,939560.0,239.393295,244.271314,234.235375,238.653589,18166200.0,189.940002,191.479996,185.889999,186.339996,3721700.0,159.861465,169.583644,156.144453,166.865828,7657400.0
2025-12-03,193.350006,202.220001,186.389999,201.0,3809100.0,2720.0,2830.0,2700.0,2804.0,775788.0,234.065445,237.703974,227.997889,236.29454,19188200.0,195.080002,196.199997,189.0,191.520004,3339200.0,155.464996,159.421822,151.298348,159.391847,6756400.0
2025-12-04,195.729996,197.759995,190.009995,190.559998,2447300.0,2724.0,2736.0,2562.0,2688.0,1320459.0,226.558472,234.065449,223.23982,230.187011,23513900.0,198.630005,200.850006,193.0,193.0,4260700.0,161.0,161.529999,153.009995,154.910004,6303300.0
2025-12-05,201.710007,201.770004,194.850006,199.630005,2332300.0,2714.0,2770.0,2690.0,2770.0,510951.0,237.124207,240.47286,226.59846,228.857542,21161000.0,200.770004,203.119995,199.039993,200.0,2656000.0,168.889999,169.470001,162.0,162.0,5815300.0
2025-12-08,212.929993,213.029999,203.0,205.0,3775000.0,2692.0,2776.0,2678.0,2736.0,828656.0,246.820282,249.129347,241.512429,243.391674,20495400.0,202.990005,205.0,201.479996,203.059998,2100000.0,169.779999,173.0,166.75,170.929993,4272200.0
2025-12-09,214.350006,219.880005,212.279999,212.929993,3288500.0,2762.0,2778.0,2624.0,2656.0,844300.0,252.318069,255.406818,242.731946,244.391279,17067100.0,199.970001,201.880005,198.0,200.199997,1871400.0,169.539993,171.850006,166.880005,169.699997,3709900.0
2025-12-10,221.850006,226.240005,214.399994,216.5,3822200.0,2774.0,2842.633057,2748.0,2792.0,888268.0,263.603485,264.643074,250.478798,255.026964,21960700.0,204.009995,204.699997,198.830002,199.779999,2057200.0,181.949997,182.470001,168.899994,169.710007,7966000.0
